"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 14 11:37:24 GMT 2024","Fri Jun 14 11:37:38 GMT 2024","14209","Platform","","Tracker filters tests","","","Priority filter",""
"skipped","Fri Jun 14 11:35:38 GMT 2024","Fri Jun 14 11:35:38 GMT 2024","1","Platform","","Application tests","","","Edit an Application",""
"skipped","Fri Jun 14 11:37:11 GMT 2024","Fri Jun 14 11:37:11 GMT 2024","1","Platform","","Tracker filters tests","","","Modified date",""
"passed","Fri Jun 14 11:34:50 GMT 2024","Fri Jun 14 11:34:56 GMT 2024","5786","Platform","","recruit tests","","","org-add-member",""
"passed","Fri Jun 14 11:42:35 GMT 2024","Fri Jun 14 11:42:47 GMT 2024","11833","Platform","","Workspace tests","","","Create a workspace with join link",""
"passed","Fri Jun 14 11:37:11 GMT 2024","Fri Jun 14 11:37:24 GMT 2024","13595","Platform","","Tracker filters tests","","","Status filter",""
"passed","Fri Jun 14 11:43:30 GMT 2024","Fri Jun 14 11:43:38 GMT 2024","8256","Platform","","Workspace tests","","","User is able to set himself as an spaces admin",""
"skipped","Fri Jun 14 11:32:58 GMT 2024","Fri Jun 14 11:32:58 GMT 2024","0","Platform","","Inbox tests","","","User is able to create a task, assign a himself and close it from inbox",""
"passed","Fri Jun 14 11:34:21 GMT 2024","Fri Jun 14 11:34:40 GMT 2024","18715","Platform","","Inbox tests","","","User is able to assign someone else and he should be able to open the task",""
"passed","Fri Jun 14 11:36:05 GMT 2024","Fri Jun 14 11:36:11 GMT 2024","5981","Platform","","candidate/talents tests","","","create-candidate",""
"passed","Fri Jun 14 11:31:49 GMT 2024","Fri Jun 14 11:31:57 GMT 2024","8468","Platform","","channel tests","","","go to random channel add user to it",""
"passed","Fri Jun 14 11:41:25 GMT 2024","Fri Jun 14 11:41:36 GMT 2024","10789","Platform","","Tracker sub-issues tests","","","Sub-issues move with parent issue",""
"passed","Fri Jun 14 11:42:08 GMT 2024","Fri Jun 14 11:42:13 GMT 2024","4784","Platform","","workbench tests","","","check-for-last-loc",""
"passed","Fri Jun 14 11:42:47 GMT 2024","Fri Jun 14 11:43:00 GMT 2024","13063","Platform","","Workspace tests","","","Create a workspace with join link - existing account",""
