"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 07 05:31:34 GMT 2024","Wed Feb 07 05:31:54 GMT 2024","20928","Collaborative tests","collaborative/issues.spec.ts","Collaborative test for issue","","","Issues can be assigned to another users",""
"passed","Wed Feb 07 05:32:06 GMT 2024","Wed Feb 07 05:32:10 GMT 2024","4023","Contact test","contacts.spec.ts","contact tests","","","delete-contact",""
"passed","Wed Feb 07 05:37:24 GMT 2024","Wed Feb 07 05:37:30 GMT 2024","5610","Workbench test","workbench.spec.ts","workbench tests","","","navigator",""
"passed","Wed Feb 07 05:37:09 GMT 2024","Wed Feb 07 05:37:24 GMT 2024","15103","Tracker tests","tracker/subissues.spec.ts","Tracker sub-issues tests","","","Delete a sub-issue",""
"passed","Wed Feb 07 05:35:50 GMT 2024","Wed Feb 07 05:35:54 GMT 2024","4131","Tracker tests","tracker/layout.spec.ts","tracker layout tests","","","issues-modified-ordering-layout",""
"passed","Wed Feb 07 05:33:40 GMT 2024","Wed Feb 07 05:33:44 GMT 2024","4171","Contact test","settings.spec.ts","contact tests","","","manage-templates",""
"skipped","Wed Feb 07 05:34:54 GMT 2024","Wed Feb 07 05:34:54 GMT 2024","0","chromium","tracker/issues.spec.ts","Tracker issue tests","","","Set parent issue",""
"passed","Wed Feb 07 05:33:34 GMT 2024","Wed Feb 07 05:33:40 GMT 2024","5425","Contact test","settings.spec.ts","contact tests","","","create-template",""
"passed","Wed Feb 07 05:34:22 GMT 2024","Wed Feb 07 05:34:32 GMT 2024","9826","Tracker tests","tracker/filter.spec.ts","Tracker filters tests","","","Status filter",""
"passed","Wed Feb 07 05:34:54 GMT 2024","Wed Feb 07 05:35:26 GMT 2024","31584","Tracker tests","tracker/issues.spec.ts","Tracker issue tests","","","Move to project",""
"passed","Wed Feb 07 05:33:25 GMT 2024","Wed Feb 07 05:33:30 GMT 2024","5264","Recruiting tests","recruiting/vacancies.spec.ts","Vacancy tests","","","Archive a Vacancy",""
"passed","Wed Feb 07 05:32:57 GMT 2024","Wed Feb 07 05:33:02 GMT 2024","5450","Recruiting tests","recruiting/vacancies.spec.ts","Vacancy tests","","","create-vacancy",""
"passed","Wed Feb 07 05:31:39 GMT 2024","Wed Feb 07 05:31:44 GMT 2024","4808","Actions tests","actions.spec.ts","actions tests","","","action-switch-vacancies",""
"passed","Wed Feb 07 05:33:02 GMT 2024","Wed Feb 07 05:33:07 GMT 2024","4229","Recruiting tests","recruiting/vacancies.spec.ts","Vacancy tests","","","use-kanban",""
"passed","Wed Feb 07 05:36:04 GMT 2024","Wed Feb 07 05:36:08 GMT 2024","3913","Tracker tests","tracker/milestone.spec.ts","Tracker milestone tests","","","Edit a Milestone",""
"skipped","Wed Feb 07 05:32:26 GMT 2024","Wed Feb 07 05:32:26 GMT 2024","1","chromium","recruiting/applications.spec.ts","Application tests","","","Edit an Application",""
"passed","Wed Feb 07 05:35:26 GMT 2024","Wed Feb 07 05:35:38 GMT 2024","12177","Tracker tests","tracker/issues.spec.ts","Tracker issue tests","","","Comment stored after reload the page",""
"passed","Wed Feb 07 05:33:31 GMT 2024","Wed Feb 07 05:33:37 GMT 2024","5862","Recruit test","tags.spec.ts","recruit tests","","","create-skill-candidate-with-skill",""
"passed","Wed Feb 07 05:31:53 GMT 2024","Wed Feb 07 05:31:58 GMT 2024","5063","Contact test","contacts.spec.ts","contact tests","","","create-contact",""
"passed","Wed Feb 07 05:37:09 GMT 2024","Wed Feb 07 05:37:14 GMT 2024","5159","Tracker tests","tracker/template.spec.ts","Tracker template tests","","","Delete Template",""
"passed","Wed Feb 07 05:35:41 GMT 2024","Wed Feb 07 05:35:46 GMT 2024","4889","Tracker tests","tracker/layout.spec.ts","tracker layout tests","","","issues-no grouping-grouping-layout",""
