"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 15 05:59:54 GMT 2024","Wed May 15 05:59:57 GMT 2024","3387","Platform","","","","","check-status-loading",""
"skipped","Wed May 15 05:54:13 GMT 2024","Wed May 15 05:54:13 GMT 2024","0","Platform","","Collaborative tests for Application","","","Add comment from several users",""
"passed","Wed May 15 05:54:19 GMT 2024","Wed May 15 05:54:25 GMT 2024","5598","Platform","","actions tests","","","action-switch-applications",""
"passed","Wed May 15 05:59:19 GMT 2024","Wed May 15 05:59:38 GMT 2024","18457","Platform","","Tracker issue tests","","","Check the changed description activity",""
"passed","Wed May 15 06:00:13 GMT 2024","Wed May 15 06:00:20 GMT 2024","7096","Platform","","tracker layout tests","","","issues-priority-ordering-layout",""
"passed","Wed May 15 05:59:07 GMT 2024","Wed May 15 05:59:14 GMT 2024","6928","Platform","","Tracker issue tests","","","Create an Issue from template",""
"passed","Wed May 15 05:55:41 GMT 2024","Wed May 15 05:55:47 GMT 2024","5559","Platform","","recruit tests","","","org-add-member",""
"passed","Wed May 15 06:01:42 GMT 2024","Wed May 15 06:01:59 GMT 2024","17361","Platform","","Tracker template tests","","","Edit a Template",""
"passed","Wed May 15 06:01:24 GMT 2024","Wed May 15 06:01:33 GMT 2024","9749","Platform","","Relations","","","Remove relation be editing issue details",""
"passed","Wed May 15 05:56:34 GMT 2024","Wed May 15 05:56:37 GMT 2024","2935","Platform","","Planning ToDo tests","","","Delete ToDo",""
"passed","Wed May 15 05:56:55 GMT 2024","Wed May 15 05:57:00 GMT 2024","5118","Platform","","review tests","","","create-review",""
"passed","Wed May 15 05:56:25 GMT 2024","Wed May 15 05:56:33 GMT 2024","8219","Platform","","Application tests","","","Change Done status",""
"passed","Wed May 15 05:57:32 GMT 2024","Wed May 15 05:57:37 GMT 2024","4950","Platform","","contact tests","","","update-profile",""
"passed","Wed May 15 05:54:13 GMT 2024","Wed May 15 05:54:29 GMT 2024","15732","Platform","","Collaborative test for issue","","","Issues can be assigned to another users",""
"passed","Wed May 15 05:55:32 GMT 2024","Wed May 15 05:55:36 GMT 2024","3769","Platform","","login test","","","check login",""
"passed","Wed May 15 06:00:06 GMT 2024","Wed May 15 06:00:13 GMT 2024","6835","Platform","","tracker layout tests","","","issues-modified-ordering-layout",""
